Date,Value,Series,labels
2017-01-01,37.19,WCS,2017-01-01T00:00:00
2017-02-01,39.14,WCS,2017-02-01T00:00:00
2017-03-01,35.68,WCS,2017-03-01T00:00:00
2017-04-01,36.84,WCS,2017-04-01T00:00:00
2017-05-01,38.84,WCS,2017-05-01T00:00:00
2017-06-01,35.8,WCS,2017-06-01T00:00:00
2017-07-01,36.37,WCS,2017-07-01T00:00:00
2017-08-01,38.5,WCS,2017-08-01T00:00:00
2017-09-01,39.93,WCS,2017-09-01T00:00:00
2017-10-01,39.87,WCS,2017-10-01T00:00:00
2017-11-01,45.52,WCS,2017-11-01T00:00:00
2017-12-01,44.02,WCS,2017-12-01T00:00:00
2018-01-01,42.53,WCS,2018-01-01T00:00:00
2018-02-01,37.72,WCS,2018-02-01T00:00:00
2018-03-01,35.53,WCS,2018-03-01T00:00:00
2018-04-01,40.47,WCS,2018-04-01T00:00:00
2018-05-01,53.25,WCS,2018-05-01T00:00:00
2018-06-01,52.1,WCS,2018-06-01T00:00:00
2018-07-01,52.83,WCS,2018-07-01T00:00:00
2018-08-01,48.55,WCS,2018-08-01T00:00:00
2018-09-01,40.37,WCS,2018-09-01T00:00:00
2018-10-01,41.15,WCS,2018-10-01T00:00:00
2018-11-01,11.03,WCS,2018-11-01T00:00:00
2018-12-01,5.97,WCS,2018-12-01T00:00:00
2019-01-01,34.3,WCS,2019-01-01T00:00:00
2019-02-01,45.33,WCS,2019-02-01T00:00:00
2019-03-01,48.21,WCS,2019-03-01T00:00:00
2019-04-01,53.25,WCS,2019-04-01T00:00:00
2019-05-01,52.44,WCS,2019-05-01T00:00:00
2019-06-01,41.74,WCS,2019-06-01T00:00:00
2019-07-01,44.7,WCS,2019-07-01T00:00:00
2019-08-01,43.1,WCS,2019-08-01T00:00:00
2019-09-01,44.84,WCS,2019-09-01T00:00:00
2019-10-01,41.96,WCS,2019-10-01T00:00:00
2019-11-01,42.32,WCS,2019-11-01T00:00:00
2019-12-01,39.11,WCS,2019-12-01T00:00:00
2020-01-01,36.82,WCS,2020-01-01T00:00:00
2020-02-01,27.28,WCS,2020-02-01T00:00:00
2020-03-01,12.84,WCS,2020-03-01T00:00:00
2020-04-01,3.5,WCS,2020-04-01T00:00:00
2020-05-01,11.67,WCS,2020-05-01T00:00:00
2020-06-01,33.97,WCS,2020-06-01T00:00:00
2020-07-01,32.5,WCS,2020-07-01T00:00:00
2020-08-01,34.6,WCS,2020-08-01T00:00:00
2020-09-01,28.43,WCS,2020-09-01T00:00:00
2020-10-01,31.17,WCS,2020-10-01T00:00:00
2020-11-01,31.57,WCS,2020-11-01T00:00:00
2020-12-01,37.32,WCS,2020-12-01T00:00:00
2021-01-01,40.04,WCS,2021-01-01T00:00:00
2021-02-01,45.13,WCS,2021-02-01T00:00:00
2021-03-01,50.94,WCS,2021-03-01T00:00:00
2021-04-01,50.51,WCS,2021-04-01T00:00:00
2021-05-01,54.78,WCS,2021-05-01T00:00:00
2021-06-01,58.46,WCS,2021-06-01T00:00:00
2021-07-01,58.46,WCS,2021-07-01T00:00:00
2021-08-01,54.47,WCS,2021-08-01T00:00:00
2021-09-01,58.02,WCS,2021-09-01T00:00:00
2021-10-01,69.3,WCS,2021-10-01T00:00:00
2021-11-01,65.25,WCS,2021-11-01T00:00:00
2021-12-01,53.1,WCS,2021-12-01T00:00:00
2022-01-01,65.6,WCS,2022-01-01T00:00:00
2022-02-01,79.1,WCS,2022-02-01T00:00:00
2022-03-01,94.57,WCS,2022-03-01T00:00:00
2022-04-01,89.06,WCS,2022-04-01T00:00:00
2022-05-01,96.6,WCS,2022-05-01T00:00:00
2022-06-01,101.17,WCS,2022-06-01T00:00:00
2022-07-01,80.44,WCS,2022-07-01T00:00:00
2022-08-01,70.45,WCS,2022-08-01T00:00:00
2022-09-01,64.18,WCS,2022-09-01T00:00:00
2022-10-01,66.38,WCS,2022-10-01T00:00:00
2022-11-01,57.44,WCS,2022-11-01T00:00:00
2022-12-01,47.14,WCS,2022-12-01T00:00:00
2023-01-01,49.94,WCS,2023-01-01T00:00:00
2023-02-01,51.16,WCS,2023-02-01T00:00:00
2023-03-01,52.99,WCS,2023-03-01T00:00:00
2023-04-01,63.48,WCS,2023-04-01T00:00:00
2023-05-01,56.24,WCS,2023-05-01T00:00:00
2023-06-01,56.42,WCS,2023-06-01T00:00:00
2023-07-01,64.12,WCS,2023-07-01T00:00:00
2023-08-01,70.13,WCS,2023-08-01T00:00:00
2023-09-01,73.85,WCS,2023-09-01T00:00:00
2023-10-01,67.23,WCS,2023-10-01T00:00:00
2023-11-01,56.61,WCS,2023-11-01T00:00:00
2017-01-01,52.5,WTI,2017-01-01T00:00:00
2017-02-01,53.47,WTI,2017-02-01T00:00:00
2017-03-01,49.33,WTI,2017-03-01T00:00:00
2017-04-01,51.06,WTI,2017-04-01T00:00:00
2017-05-01,48.48,WTI,2017-05-01T00:00:00
2017-06-01,45.18,WTI,2017-06-01T00:00:00
2017-07-01,46.63,WTI,2017-07-01T00:00:00
2017-08-01,48.04,WTI,2017-08-01T00:00:00
2017-09-01,49.82,WTI,2017-09-01T00:00:00
2017-10-01,51.58,WTI,2017-10-01T00:00:00
2017-11-01,56.64,WTI,2017-11-01T00:00:00
2017-12-01,57.95,WTI,2017-12-01T00:00:00
2018-01-01,63.55,WTI,2018-01-01T00:00:00
2018-02-01,62.16,WTI,2018-02-01T00:00:00
2018-03-01,62.87,WTI,2018-03-01T00:00:00
2018-04-01,66.33,WTI,2018-04-01T00:00:00
2018-05-01,69.89,WTI,2018-05-01T00:00:00
2018-06-01,67.32,WTI,2018-06-01T00:00:00
2018-07-01,70.74,WTI,2018-07-01T00:00:00
2018-08-01,67.85,WTI,2018-08-01T00:00:00
2018-09-01,70.07,WTI,2018-09-01T00:00:00
2018-10-01,70.76,WTI,2018-10-01T00:00:00
2018-11-01,56.96,WTI,2018-11-01T00:00:00
2018-12-01,49.52,WTI,2018-12-01T00:00:00
2019-01-01,51.38,WTI,2019-01-01T00:00:00
2019-02-01,54.95,WTI,2019-02-01T00:00:00
2019-03-01,58.15,WTI,2019-03-01T00:00:00
2019-04-01,63.86,WTI,2019-04-01T00:00:00
2019-05-01,60.83,WTI,2019-05-01T00:00:00
2019-06-01,54.66,WTI,2019-06-01T00:00:00
2019-07-01,57.35,WTI,2019-07-01T00:00:00
2019-08-01,54.81,WTI,2019-08-01T00:00:00
2019-09-01,56.95,WTI,2019-09-01T00:00:00
2019-10-01,53.96,WTI,2019-10-01T00:00:00
2019-11-01,57.03,WTI,2019-11-01T00:00:00
2019-12-01,59.88,WTI,2019-12-01T00:00:00
2020-01-01,57.68,WTI,2020-01-01T00:00:00
2020-02-01,50.62,WTI,2020-02-01T00:00:00
2020-03-01,29.21,WTI,2020-03-01T00:00:00
2020-04-01,16.55,WTI,2020-04-01T00:00:00
2020-05-01,28.56,WTI,2020-05-01T00:00:00
2020-06-01,38.31,WTI,2020-06-01T00:00:00
2020-07-01,40.71,WTI,2020-07-01T00:00:00
2020-08-01,42.34,WTI,2020-08-01T00:00:00
2020-09-01,39.63,WTI,2020-09-01T00:00:00
2020-10-01,39.4,WTI,2020-10-01T00:00:00
2020-11-01,40.94,WTI,2020-11-01T00:00:00
2020-12-01,47.02,WTI,2020-12-01T00:00:00
2021-01-01,52,WTI,2021-01-01T00:00:00
2021-02-01,59.04,WTI,2021-02-01T00:00:00
2021-03-01,62.33,WTI,2021-03-01T00:00:00
2021-04-01,61.72,WTI,2021-04-01T00:00:00
2021-05-01,65.17,WTI,2021-05-01T00:00:00
2021-06-01,71.38,WTI,2021-06-01T00:00:00
2021-07-01,72.49,WTI,2021-07-01T00:00:00
2021-08-01,67.73,WTI,2021-08-01T00:00:00
2021-09-01,71.65,WTI,2021-09-01T00:00:00
2021-10-01,81.48,WTI,2021-10-01T00:00:00
2021-11-01,79.15,WTI,2021-11-01T00:00:00
2021-12-01,71.71,WTI,2021-12-01T00:00:00
2022-01-01,83.22,WTI,2022-01-01T00:00:00
2022-02-01,91.64,WTI,2022-02-01T00:00:00
2022-03-01,108.5,WTI,2022-03-01T00:00:00
2022-04-01,101.78,WTI,2022-04-01T00:00:00
2022-05-01,109.55,WTI,2022-05-01T00:00:00
2022-06-01,114.34,WTI,2022-06-01T00:00:00
2022-07-01,99.39,WTI,2022-07-01T00:00:00
2022-08-01,91.48,WTI,2022-08-01T00:00:00
2022-09-01,83.8,WTI,2022-09-01T00:00:00
2022-10-01,87.03,WTI,2022-10-01T00:00:00
2022-11-01,84.39,WTI,2022-11-01T00:00:00
2022-12-01,76.52,WTI,2022-12-01T00:00:00
2023-01-01,78.16,WTI,2023-01-01T00:00:00
2023-02-01,76.86,WTI,2023-02-01T00:00:00
2023-03-01,73.37,WTI,2023-03-01T00:00:00
2023-04-01,79.44,WTI,2023-04-01T00:00:00
2023-05-01,71.62,WTI,2023-05-01T00:00:00
2023-06-01,70.27,WTI,2023-06-01T00:00:00
2023-07-01,76.03,WTI,2023-07-01T00:00:00
2023-08-01,81.32,WTI,2023-08-01T00:00:00
2023-09-01,89.43,WTI,2023-09-01T00:00:00
2023-10-01,85.47,WTI,2023-10-01T00:00:00
2023-11-01,77.38,WTI,2023-11-01T00:00:00
