DATE,US_CPI,US_Interest_Rate,CA_Interest_rate
1/1/2017,2.661562,0.65,0.75
2/1/2017,2.67446,0.66,0.75
3/1/2017,2.453344,0.79,0.75
4/1/2017,2.25217,0.9,0.75
5/1/2017,2.155911,0.91,0.75
6/1/2017,2.13853,1.04,0.75
7/1/2017,2.146769,1.15,1
8/1/2017,2.089832,1.16,1
9/1/2017,2.106697,1.15,1.25
10/1/2017,2.192819,1.15,1.25
11/1/2017,2.115031,1.16,1.25
12/1/2017,2.125472,1.3,1.25
1/1/2018,2.166305,1.41,1.5
2/1/2018,2.131896,1.42,1.5
3/1/2018,2.369197,1.51,1.5
4/1/2018,2.493423,1.69,1.5
5/1/2018,2.544991,1.7,1.5
6/1/2018,2.553219,1.82,1.5
7/1/2018,2.519634,1.91,1.75
8/1/2018,2.432878,1.91,1.75
9/1/2018,2.461933,1.95,1.75
10/1/2018,2.414988,2.19,2
11/1/2018,2.476794,2.2,2
12/1/2018,2.46437,2.27,2
1/1/2019,2.385533,2.4,2
2/1/2019,2.376648,2.4,2
3/1/2019,2.399684,2.41,2
4/1/2019,2.407927,2.42,2
5/1/2019,2.39723,2.39,2
6/1/2019,2.421751,2.38,2
7/1/2019,2.460848,2.4,2
8/1/2019,2.629246,2.13,2
9/1/2019,2.606767,2.04,2
10/1/2019,2.733341,1.83,2
11/1/2019,2.768217,1.55,2
12/1/2019,2.746361,1.55,2
1/1/2020,2.797067,1.55,2
2/1/2020,2.812936,1.58,2
3/1/2020,2.647379,0.65,1
4/1/2020,2.226352,0.05,0.5
5/1/2020,2.084208,0.05,0.5
6/1/2020,2.058146,0.08,0.5
7/1/2020,2.348857,0.09,0.5
8/1/2020,2.288978,0.1,0.5
9/1/2020,2.077391,0.09,0.5
10/1/2020,1.842159,0.09,0.5
11/1/2020,1.798587,0.09,0.5
12/1/2020,1.716599,0.09,0.5
1/1/2021,1.517012,0.09,0.5
2/1/2021,1.527009,0.08,0.5
3/1/2021,1.706984,0.07,0.5
4/1/2021,2.262331,0.07,0.5
5/1/2021,2.623164,0.06,0.5
6/1/2021,2.588579,0.08,0.5
7/1/2021,2.315464,0.1,0.5
8/1/2021,2.343064,0.09,0.5
9/1/2021,2.638383,0.08,0.5
10/1/2021,3.035619,0.08,0.5
11/1/2021,3.21432,0.08,0.5
12/1/2021,3.484143,0.08,0.5
1/1/2022,3.988659,0.08,0.5
2/1/2022,4.30707,0.08,0.5
3/1/2022,4.558423,0.2,0.75
4/1/2022,4.721803,0.33,1.25
5/1/2022,4.985582,0.77,1.25
6/1/2022,5.422337,1.21,1.75
7/1/2022,5.625329,1.68,2.75
8/1/2022,5.991705,2.33,2.75
9/1/2022,6.392795,2.56,3.5
10/1/2022,6.364809,3.08,3.5
11/1/2022,6.471178,3.78,4
12/1/2022,6.617223,4.1,4.5
1/1/2023,6.554492474,4.33,4.5
2/1/2023,6.59375,4.57,4.75
3/1/2023,6.451708317,4.65,4.75
4/1/2023,6.322748661,4.83,4.75
5/1/2023,6.000605583,5.06,4.75
6/1/2023,5.62652874,5.08,5
7/1/2023,5.45608902,5.12,5.25
8/1/2023,5.217342854,5.33,5.25
9/1/2023,5.008782387,5.33,5.25
10/1/2023,4.931955814,5.33,5.25
11/1/2023,4.730629444,5.33,5.25
12/1/2023,4.584186077,5.33,5.25
